DateTime,City,Temperature,Humidity,WindSpeed,Rainfall,Pressure,ID
2024-01-01 00:00:00,Dhaka,25.39,88,4.08,3.63,1006.92,1
2024-01-01 00:00:00,Chittagong,23.57,68,0.95,0.0,1007.54,2
2024-01-01 00:00:00,Khulna,23.73,52,0.59,0.26,1007.37,3
2024-01-01 00:00:00,Rajshahi,23.19,61,3.25,0.0,1013.02,4
2024-01-01 00:00:00,Sylhet,24.53,65,1.55,2.67,1006.16,5
2024-01-01 01:00:00,Dhaka,24.35,52,4.37,0.42,1019.56,6
2024-01-01 01:00:00,Chittagong,24.68,74,4.85,0.2,1014.74,7
2024-01-01 01:00:00,Khulna,27.63,69,1.58,4.85,1017.9,8
2024-01-01 01:00:00,Rajshahi,25.54,84,4.59,4.47,1003.9,9
2024-01-01 01:00:00,Sylhet,27.66,55,1.44,0.62,1010.33,10
2024-01-01 02:00:00,Dhaka,29.19,93,4.73,2.66,1014.41,11
2024-01-01 02:00:00,Chittagong,28.88,57,3.07,3.69,1010.13,12
2024-01-01 02:00:00,Khulna,26.62,94,1.72,0.62,1015.29,13
2024-01-01 02:00:00,Rajshahi,28.42,94,1.13,3.75,1014.44,14
2024-01-01 02:00:00,Sylhet,29.16,82,3.23,2.63,1012.99,15
2024-01-01 03:00:00,Dhaka,27.78,58,3.3,0.56,1009.07,16
2024-01-01 03:00:00,Chittagong,28.78,73,3.5,0.0,1013.19,17
2024-01-01 03:00:00,Khulna,28.78,84,1.04,4.92,1013.98,18
2024-01-01 03:00:00,Rajshahi,26.64,63,2.72,0.0,1014.11,19
2024-01-01 03:00:00,Sylhet,28.79,62,1.41,1.82,1014.81,20
2024-01-01 04:00:00,Dhaka,30.35,53,4.58,0.4,1002.52,21
2024-01-01 04:00:00,Chittagong,30.85,85,4.74,6.87,1014.12,22
2024-01-01 04:00:00,Khulna,30.54,91,4.14,4.75,1011.64,23
2024-01-01 04:00:00,Rajshahi,27.82,93,2.37,0.97,1013.75,24
2024-01-01 04:00:00,Sylhet,29.04,74,1.93,1.23,1008.16,25
2024-01-01 05:00:00,Dhaka,29.5,62,4.37,2.02,1008.83,26
2024-01-01 05:00:00,Chittagong,28.5,86,3.62,0.0,1005.91,27
2024-01-01 05:00:00,Khulna,31.72,81,2.83,0.0,1017.02,28
2024-01-01 05:00:00,Rajshahi,28.97,61,1.63,0.0,1009.87,29
2024-01-01 05:00:00,Sylhet,27.96,66,1.7,1.81,1011.72,30
2024-01-01 06:00:00,Dhaka,29.96,81,4.59,0.28,1007.89,31
2024-01-01 06:00:00,Chittagong,29.48,81,2.99,0.0,1010.84,32
2024-01-01 06:00:00,Khulna,30.53,66,3.78,6.21,1002.99,33
2024-01-01 06:00:00,Rajshahi,30.03,60,4.17,0.67,1011.89,34
2024-01-01 06:00:00,Sylhet,28.07,65,0.68,7.12,1014.37,35
2024-01-01 07:00:00,Dhaka,31.59,52,4.14,0.0,1008.65,36
2024-01-01 07:00:00,Chittagong,31.53,89,2.24,0.0,1008.39,37
2024-01-01 07:00:00,Khulna,31.76,79,3.63,0.12,1007.39,38
2024-01-01 07:00:00,Rajshahi,31.36,51,4.98,2.19,1012.51,39
2024-01-01 07:00:00,Sylhet,31.25,58,1.75,4.45,1012.36,40
2024-01-01 08:00:00,Dhaka,27.37,82,3.39,2.68,1014.24,41
2024-01-01 08:00:00,Chittagong,29.94,74,3.49,7.6,1012.37,42
2024-01-01 08:00:00,Khulna,28.05,90,1.29,1.99,1008.08,43
2024-01-01 08:00:00,Rajshahi,27.7,57,4.32,4.47,1019.48,44
2024-01-01 08:00:00,Sylhet,29.85,71,1.69,4.64,1008.8,45
