DateTime,Junction,Vehicles,ID
2024-01-01 00:00:00,1,26,1
2024-01-01 00:00:00,2,49,2
2024-01-01 00:00:00,3,54,3
2024-01-01 00:00:00,4,60,4
2024-01-01 00:00:00,5,67,5
2024-01-01 01:00:00,1,26,6
2024-01-01 01:00:00,2,48,7
2024-01-01 01:00:00,3,50,8
2024-01-01 01:00:00,4,60,9
2024-01-01 01:00:00,5,63,10
2024-01-01 02:00:00,1,27,11
2024-01-01 02:00:00,2,32,12
2024-01-01 02:00:00,3,41,13
2024-01-01 02:00:00,4,61,14
2024-01-01 02:00:00,5,65,15
2024-01-01 03:00:00,1,21,16
2024-01-01 03:00:00,2,30,17
2024-01-01 03:00:00,3,51,18
2024-01-01 03:00:00,4,61,19
2024-01-01 03:00:00,5,76,20
2024-01-01 04:00:00,1,29,21
2024-01-01 04:00:00,2,45,22
2024-01-01 04:00:00,3,54,23
2024-01-01 04:00:00,4,64,24
2024-01-01 04:00:00,5,78,25
2024-01-01 05:00:00,1,31,26
2024-01-01 05:00:00,2,49,27
2024-01-01 05:00:00,3,42,28
2024-01-01 05:00:00,4,54,29
2024-01-01 05:00:00,5,78,30
2024-01-01 06:00:00,1,26,31
2024-01-01 06:00:00,2,38,32
2024-01-01 06:00:00,3,46,33
2024-01-01 06:00:00,4,67,34
2024-01-01 06:00:00,5,63,35
2024-01-01 07:00:00,1,93,36
2024-01-01 07:00:00,2,107,37
2024-01-01 07:00:00,3,108,38
2024-01-01 07:00:00,4,111,39
2024-01-01 07:00:00,5,139,40
2024-01-01 08:00:00,1,94,41
2024-01-01 08:00:00,2,96,42
2024-01-01 08:00:00,3,111,43
2024-01-01 08:00:00,4,117,44
2024-01-01 08:00:00,5,134,45
2024-01-01 09:00:00,1,82,46
2024-01-01 09:00:00,2,103,47
2024-01-01 09:00:00,3,116,48
2024-01-01 09:00:00,4,113,49
2024-01-01 09:00:00,5,137,50
2024-01-01 10:00:00,1,67,51
2024-01-01 10:00:00,2,73,52
2024-01-01 10:00:00,3,81,53
2024-01-01 10:00:00,4,95,54
2024-01-01 10:00:00,5,109,55
2024-01-01 11:00:00,1,63,56
2024-01-01 11:00:00,2,87,57
2024-01-01 11:00:00,3,91,58
2024-01-01 11:00:00,4,91,59
2024-01-01 11:00:00,5,109,60
2024-01-01 12:00:00,1,63,61
2024-01-01 12:00:00,2,83,62
2024-01-01 12:00:00,3,95,63
